scenario,index_name,metric,estimate,ci_low,ci_high
fixed_w5_t7_corrected,warm_days,OLS,20.70569313584021,12.918236919248022,24.907136655619315
fixed_w5_t7_corrected,warm_days,q10,16.86714616402116,7.835648148148149,25.974426807760146
fixed_w5_t7_corrected,warm_days,q50,23.03158068783069,10.2724358974359,25.946180555555554
fixed_w5_t7_corrected,warm_days,q90,27.277199074074076,5.613766339869278,39.09691764132554
fixed_w5_t7_corrected,warm_days,Delta1,10.410052910052915,-11.62147671568628,22.22977147730438
fixed_w5_t7_corrected,warm_nights,OLS,16.36652148233028,12.067766147256556,19.037423701497143
fixed_w5_t7_corrected,warm_nights,q10,16.065228174603174,10.591435185185176,19.655324074074073
fixed_w5_t7_corrected,warm_nights,q50,16.80555555555556,9.539778265107213,20.466049382716047
fixed_w5_t7_corrected,warm_nights,q90,18.26354847494553,11.258806360708533,25.109953703703706
fixed_w5_t7_corrected,warm_nights,Delta1,2.198320300342356,-6.540486564996362,9.044725529100532
fixed_w5_t8_corrected,cool_days,OLS,-11.418266170104403,-17.0348669308717,-3.502228089722773
fixed_w5_t8_corrected,cool_days,q10,-4.250841750841749,-14.401041666666671,-1.9372106481481488
fixed_w5_t8_corrected,cool_days,q50,-10.491452991452993,-11.588903356481483,-1.5285011574074072
fixed_w5_t8_corrected,cool_days,q90,-14.858870967741938,-28.094571385902032,-3.589541245791249
fixed_w5_t8_corrected,cool_days,Delta1,-10.608029216900189,-21.944946791409468,1.837390287422841
fixed_w5_t8_corrected,cool_nights,OLS,-9.292914261664258,-13.940690944706981,-2.7585013126865463
fixed_w5_t8_corrected,cool_nights,q10,-3.86039886039886,-11.433738425925924,-1.182484567901234
fixed_w5_t8_corrected,cool_nights,q50,-8.003472222222221,-10.263087606837605,-1.6914592978394871
fixed_w5_t8_corrected,cool_nights,q90,-12.518518518518514,-24.27139336917563,-2.896412037037037
fixed_w5_t8_corrected,cool_nights,Delta1,-8.658119658119654,-19.40890439210332,2.3211380721231256
fixed_w5_t8_corrected,warm_days,OLS,20.14547169878051,12.684284615629814,24.202733861353163
fixed_w5_t8_corrected,warm_days,q10,16.6982727920228,7.190972222222221,25.143097643097644
fixed_w5_t8_corrected,warm_days,q50,22.450190145502646,10.055199430199428,25.29065860215054
fixed_w5_t8_corrected,warm_days,q90,27.310763888888886,5.732570806100216,37.588633040935676
fixed_w5_t8_corrected,warm_days,Delta1,10.612491096866087,-10.922196502057616,21.963734567901238
fixed_w5_t8_corrected,warm_nights,OLS,15.870772677757978,11.812806154928014,18.357865432076682
fixed_w5_t8_corrected,warm_nights,q10,15.078538359788357,10.639274691358025,18.71944444444444
fixed_w5_t8_corrected,warm_nights,q50,16.514550264550266,9.268396686159845,19.67554012345679
fixed_w5_t8_corrected,warm_nights,q90,18.22746459694989,11.311644524959743,23.88961226851852
fixed_w5_t8_corrected,warm_nights,Delta1,3.1489262371615325,-5.408309788035586,8.811073908730162
full_w11_t7,cool_days,OLS,-12.612568259627094,-18.393545135024013,-4.554204942780727
full_w11_t7,cool_days,q10,-5.454545454545455,-14.621913580246915,-2.1759259259259256
full_w11_t7,cool_days,q50,-11.947751322751325,-13.61916264090177,-2.8283871478315423
full_w11_t7,cool_days,q90,-15.69593787335723,-29.00238948626045,-1.5637860082304578
full_w11_t7,cool_days,Delta1,-10.241392418811776,-22.234760802469133,3.2808641975308612
full_w11_t7,cool_nights,OLS,-10.966018730724606,-15.725273869188113,-4.550756692948323
full_w11_t7,cool_nights,q10,-5.905349794238686,-13.468364197530864,-3.2407407407407405
full_w11_t7,cool_nights,q50,-9.599999999999998,-11.496913580246915,-3.6689814814814814
full_w11_t7,cool_nights,q90,-12.271604938271603,-25.244922341696537,-4.565972222222219
full_w11_t7,cool_nights,Delta1,-6.366255144032917,-19.300231481481482,3.114246093412768
full_w11_t7,warm_days,OLS,13.949410067057144,8.643151011429211,17.083954234081993
full_w11_t7,warm_days,q10,9.520502645502646,3.5648148148148153,14.553872053872055
full_w11_t7,warm_days,q50,15.718694885361549,7.341269841269838,18.044662309368192
full_w11_t7,warm_days,q90,22.370370370370374,2.810185185185187,27.90448343079922
full_w11_t7,warm_days,Delta1,12.849867724867728,-5.7561921296296354,19.663742690058484
full_w11_t7,warm_nights,OLS,11.136561695385224,8.094986473177538,12.919586068405884
full_w11_t7,warm_nights,q10,10.069444444444445,6.9444444444444455,11.972934472934472
full_w11_t7,warm_nights,q50,12.340534979423868,5.7625272331154695,14.029982363315698
full_w11_t7,warm_nights,q90,12.777777777777777,7.870370370370362,16.910331384015592
full_w11_t7,warm_nights,Delta1,2.708333333333332,-2.2381535947712417,6.9973544973545
full_w5_t7,cool_days,OLS,-12.801049712814418,-18.589107622500222,-4.810133821043004
full_w5_t7,cool_days,q10,-5.8375420875420865,-16.212962962962965,-2.372685185185186
full_w5_t7,cool_days,q50,-11.997354497354497,-13.575498575498573,-3.0952380952380976
full_w5_t7,cool_days,q90,-15.686977299880528,-29.35782556750299,-2.1380471380471375
full_w5_t7,cool_days,Delta1,-9.849435212338442,-22.219992922021184,3.0317460317460343
full_w5_t7,cool_nights,OLS,-11.145233851116215,-15.997389595484865,-4.6444972223478285
full_w5_t7,cool_nights,q10,-5.9362139917695504,-13.387345679012345,-3.1100217864923754
full_w5_t7,cool_nights,q50,-9.637037037037038,-11.471734892787524,-3.373842592592591
full_w5_t7,cool_nights,q90,-12.333333333333334,-25.79151732377539,-5.01157407407407
full_w5_t7,cool_nights,Delta1,-6.3971193415637835,-19.773977272727272,2.4179823520101316
