index_name,network,metric,block_length,estimate,ci_low,ci_high,family_ci_low,family_ci_high,bootstrap_reps
cool_nights,common_fixed,Delta1,2,-6.366255144032917,-20.65029522275899,1.7399884259259304,-22.556858258416185,5.557877626843143,4999
warm_days,available,OLS,2,14.021952707566285,9.3192002160371,17.257698923442224,7.066031141320432,18.264435246272328,4999
warm_days,available,q10,2,9.446325540444347,4.556451612903226,13.88440860215054,2.4623655913978495,18.288889799516298,4999
warm_days,available,q50,2,15.549853372434017,7.983870967741935,17.903053266525873,5.882352941176472,19.090209277525997,4999
warm_days,available,q90,2,22.504655127196433,5.947416732231837,27.468332472134055,1.895161290322578,30.209677419354836,4999
warm_days,available,Delta1,2,13.058329586752086,-4.7050928274761805,18.028739850401386,-8.795944053092919,22.116328459655605,4999
warm_nights,available,OLS,2,10.958427868028847,8.287276496904894,12.64132196765057,7.1957903051119105,13.161094358886617,4999
warm_nights,available,q10,2,8.741935483870968,6.550179211469538,11.77629853548111,6.2132144878324835,14.072580645161318,4999
warm_nights,available,q50,2,12.139219015280133,6.441087967755738,13.690438105394117,3.8306451612903225,14.336701469771997,4999
warm_nights,available,q90,2,12.210626185958253,8.300607760635813,16.56532034670718,6.108870967741929,16.822179058484135,4999
warm_nights,available,Delta1,2,3.468690702087285,-2.3984437729983163,6.861489917051928,-4.863430095458912,8.692336475739436,4999
cool_days,available,OLS,2,-12.598144500341844,-18.727727710254033,-6.099312018617001,-21.003281165237823,-4.25326352663232,4999
cool_days,available,q10,2,-5.601590253439191,-14.61021505376344,-2.53024193548387,-18.790322580645164,-1.143839903561948,4999
cool_days,available,q50,2,-12.000580720092914,-13.622569405417552,-3.661290322580645,-17.696902506215142,-1.8432917888562794,4999
cool_days,available,q90,2,-15.37190082644628,-28.970189701897016,-7.233754967822631,-32.75024040562986,-1.831797235023043,4999
cool_days,available,Delta1,2,-9.77031057300709,-23.915084603354998,1.1135878404537833,-26.44906879052655,4.353581224260133,4999
cool_nights,available,OLS,2,-10.863292034184974,-15.854384885395739,-5.617796065289958,-17.60704161846843,-4.432588557148975,4999
cool_nights,available,q10,2,-5.905017921146952,-13.16436251920123,-3.256884343036978,-16.213847436928486,-2.465437788018432,4999
cool_nights,available,q50,2,-9.831591173054585,-11.64314516129032,-4.5014662756598245,-14.077878883865582,-2.3502304147465423,4999
cool_nights,available,q90,2,-12.064516129032251,-25.517241379310345,-6.012544802867382,-27.44736053351317,-3.4939774607111325,4999
cool_nights,available,Delta1,2,-6.159498207885299,-20.16103799601046,1.63560352160059,-22.166233956192634,5.455359506420409,4999
warm_days,common_fixed,OLS,4,13.949410067057144,8.643151011429211,17.083954234081993,5.969817525938547,19.08523987112778,4999
warm_days,common_fixed,q10,4,9.520502645502646,3.5648148148148153,14.553872053872055,-2.623456790123456,18.046296296296298,4999
warm_days,common_fixed,q50,4,15.718694885361549,7.341269841269838,18.044662309368192,3.465608465608463,19.87373737373737,4999
warm_days,common_fixed,q90,4,22.370370370370374,2.810185185185187,27.90448343079922,1.8537868363719778,30.709876543209873,4999
warm_days,common_fixed,Delta1,4,12.849867724867728,-5.7561921296296354,19.663742690058484,-10.7950191012691,24.99382716049383,4999
warm_nights,common_fixed,OLS,4,11.136561695385224,8.094986473177538,12.919586068405884,6.5395703924293045,13.58539193168892,4999
warm_nights,common_fixed,q10,4,10.069444444444445,6.9444444444444455,11.972934472934472,4.753086419753091,15.074074074074062,4999
warm_nights,common_fixed,q50,4,12.340534979423868,5.7625272331154695,14.029982363315698,3.4490740740740744,15.879629629629626,4999
warm_nights,common_fixed,q90,4,12.777777777777777,7.870370370370362,16.910331384015592,5.794077932098762,17.216435185185187,4999
warm_nights,common_fixed,Delta1,4,2.708333333333332,-2.2381535947712417,6.9973544973545,-6.182598039215688,9.563929738562095,4999
cool_days,common_fixed,OLS,4,-12.612568259627094,-18.393545135024013,-4.554204942780727,-20.30053154865084,-2.4005842150070937,4999
cool_days,common_fixed,q10,4,-5.454545454545455,-14.621913580246915,-2.1759259259259256,-18.71604938271605,1.8024691358024707,4999
cool_days,common_fixed,q50,4,-11.947751322751325,-13.61916264090177,-2.8283871478315423,-14.957912457912458,-0.5471380471380497,4999
cool_days,common_fixed,q90,4,-15.69593787335723,-29.00238948626045,-1.5637860082304578,-34.14983164983165,-1.1882716049382698,4999
cool_days,common_fixed,Delta1,4,-10.241392418811776,-22.234760802469133,3.2808641975308612,-27.1540513581976,7.543534762833007,4999
cool_nights,common_fixed,OLS,4,-10.966018730724606,-15.725273869188113,-4.550756692948323,-17.269941642527723,-2.461169739418507,4999
cool_nights,common_fixed,q10,4,-5.905349794238686,-13.468364197530864,-3.2407407407407405,-16.325231481481485,-2.5661375661375683,4999
cool_nights,common_fixed,q50,4,-9.599999999999998,-11.496913580246915,-3.6689814814814814,-13.32561728395062,-1.4407849945533624,4999
cool_nights,common_fixed,q90,4,-12.271604938271603,-25.244922341696537,-4.565972222222219,-28.037918871252206,-1.129629629629626,4999
cool_nights,common_fixed,Delta1,4,-6.366255144032917,-19.300231481481482,3.114246093412768,-22.714171245421248,6.424254115226343,4999
warm_days,available,OLS,4,14.021952707566285,8.558841756751676,17.272760139448618,5.875975773450763,19.2908782939486,4999
warm_days,available,q10,4,9.446325540444347,3.28124544686307,14.712347709987366,-3.2078853046594973,18.269997377393132,4999
warm_days,available,q50,4,15.549853372434017,7.363523573200992,18.554147465437786,3.1899641577060938,19.720995175783685,4999
warm_days,available,q90,4,22.504655127196433,2.620967741935484,27.468332472134055,1.5437788018433147,30.302770128507834,4999
warm_days,available,Delta1,4,13.058329586752086,-5.538763892653839,19.784974143786112,-10.71738169287372,25.002642780770238,4999
warm_nights,available,OLS,4,10.958427868028847,7.8660580720791575,12.761498973562643,6.231018458644093,13.416669827881586,4999
warm_nights,available,q10,4,8.741935483870968,6.290322580645159,12.41935483870968,3.027859237536658,14.118801789468236,4999
warm_nights,available,q50,4,12.139219015280133,6.0692540322580655,13.83873485935887,3.1824740783410133,15.768023190787012,4999
warm_nights,available,q90,4,12.210626185958253,8.296598877980367,16.56532034670718,5.597808987047897,16.822179058484135,4999
warm_nights,available,Delta1,4,3.468690702087285,-2.4687751940243423,7.410220570966921,-7.1384351391007455,10.002094679514034,4999
cool_days,available,OLS,4,-12.598144500341844,-18.20654776662536,-4.6565272784966805,-20.09200450794041,-2.524203325815448,4999
cool_days,available,q10,4,-5.601590253439191,-14.620967741935486,-2.53024193548387,-18.790322580645164,0.959543010752816,4999
cool_days,available,q50,4,-12.000580720092914,-13.536038989422153,-3.0376344086021496,-15.11372577068879,-0.5472350230414743,4999
cool_days,available,q90,4,-15.37190082644628,-28.704432205612378,-1.831797235023043,-33.447476336933455,-1.3709677419354829,4999
cool_days,available,Delta1,4,-9.77031057300709,-21.640654633019274,3.00333914053426,-27.161741350968224,7.039653618704509,4999
