contrast,index_name,metric,block_length,estimate,ci_low,ci_high,family_ci_low,family_ci_high,bootstrap_reps
fixed_minus_available,warm_days,Delta1,4,-0.20846186188435745,-1.5847937504113663,0.6831173910113364,-3.3172795796058256,0.9699233496582043,4999
fixed_minus_available,warm_nights,OLS,4,0.17813382735637617,0.10786046637168267,0.2957848575703276,0.07212971052190889,0.357314624809408,4999
fixed_minus_available,warm_nights,q10,4,1.3275089605734767,-0.4681073072103761,1.520737327188943,-0.5697431302270006,2.1334698754053596,4999
fixed_minus_available,warm_nights,q50,4,0.20131596414373476,-0.4229942261020163,0.6848550587939393,-0.903737839221713,1.065575939550194,4999
fixed_minus_available,warm_nights,q90,4,0.567151591819524,-0.3637546624122123,1.6781162883313403,-0.42488052568697654,3.403026682596577,4999
fixed_minus_available,warm_nights,Delta1,4,-0.7603573687539527,-1.375094321826067,1.547163903298564,-2.122043958961524,2.997697667029777,4999
fixed_minus_available,cool_days,OLS,4,-0.014423759285250526,-0.19982913629009413,0.18808002153107542,-0.2683582728949373,0.230127474428635,4999
fixed_minus_available,cool_days,q10,4,0.14704479889373623,-0.2025963808025164,0.3543160095579445,-0.5365143369175591,0.9281660692950968,4999
fixed_minus_available,cool_days,q50,4,0.05282939734158987,-0.41474654377880027,0.7150537634408654,-0.6649747521163131,1.0495196136997291,4999
fixed_minus_available,cool_days,q90,4,-0.32403704691095037,-0.8381402819330575,0.7122777426382783,-0.9838593041855439,1.4246316208681928,4999
fixed_minus_available,cool_days,Delta1,4,-0.4710818458046866,-0.9997819995520043,0.6231471768122767,-1.6223394559171638,1.2676544632189826,4999
fixed_minus_available,cool_nights,OLS,4,-0.10272669653963185,-0.2916403446274849,0.08389862418045803,-0.3819297498671325,0.12507579223489926,4999
fixed_minus_available,cool_nights,q10,4,-0.00033187309173410284,-0.40397252090800784,0.3365193150139474,-0.8996415770609314,0.4349931728964072,4999
fixed_minus_available,cool_nights,q50,4,0.23159117305458743,-0.5040322580645125,0.598035311296961,-0.9517990969603893,1.076455390627963,4999
fixed_minus_available,cool_nights,q90,4,-0.2070888092393517,-0.9214316511481684,0.5274790919952181,-0.9214316511481684,0.9077060931899652,4999
fixed_minus_available,cool_nights,Delta1,4,-0.2067569361476176,-0.8576072155070955,0.6511789303535078,-1.005312575082855,1.1104083210345062,4999
warm_day_minus_night,paired_indices,Delta1,6,10.141534391534396,-6.169584500466853,14.469286731786747,-12.213321208112873,22.557818930041154,4999
cool_day_minus_night,paired_indices,Delta1,6,-3.875137274778859,-8.563013774835659,6.324454258912935,-11.757947530864195,12.269922268489324,4999
fixed_minus_available,warm_days,OLS,6,-0.07254264050914117,-0.29728184744183234,0.2190081964408762,-0.37830081554860634,0.3262353871830671,4999
fixed_minus_available,warm_days,q10,6,0.07417710505829866,-0.24696643234617,0.7417363600159277,-0.5002986857825551,1.2239289981225472,4999
fixed_minus_available,warm_days,q50,6,0.16884151292753202,-1.0397721101533488,0.5380611025772257,-1.7948882061785199,0.8618442489410221,4999
fixed_minus_available,warm_days,q90,6,-0.13428475682605878,-1.2596857640130565,0.6571087216248568,-2.9814112024738186,1.241205363069163,4999
fixed_minus_available,warm_days,Delta1,6,-0.20846186188435745,-1.5499676291760611,0.7387677219055586,-3.188721943971429,1.0663082437276081,4999
fixed_minus_available,warm_nights,OLS,6,0.17813382735637617,0.10172313289234873,0.3278006149027914,0.007909222707988304,0.46745910335856383,4999
fixed_minus_available,warm_nights,q10,6,1.3275089605734767,-0.5697431302270006,1.486071810350258,-0.5697431302270006,2.1334698754053596,4999
fixed_minus_available,warm_nights,q50,6,0.20131596414373476,-0.468186111503382,0.8602150537634401,-0.9765287525827137,1.3603978841780384,4999
fixed_minus_available,warm_nights,q90,6,0.567151591819524,-0.3637546624122123,2.6582448989153544,-1.0994957894459017,3.403026682596577,4999
fixed_minus_available,warm_nights,Delta1,6,-0.7603573687539527,-1.4097115548728496,2.060004622103191,-2.174005803038063,3.249778500729196,4999
fixed_minus_available,cool_days,OLS,6,-0.014423759285250526,-0.18104238007594642,0.1952049650602988,-0.2371054782620568,0.25217963310311675,4999
fixed_minus_available,cool_days,q10,6,0.14704479889373623,-0.2025963808025164,0.4233518858486107,-0.5620876837566868,0.9332623954599766,4999
fixed_minus_available,cool_days,q50,6,0.05282939734158987,-0.4917387883556277,0.816121463932679,-0.7027261865971499,1.3077006625393528,4999
fixed_minus_available,cool_days,q90,6,-0.32403704691095037,-0.8381402819330575,0.7122777426382783,-1.2615744393148396,1.621970472776927,4999
fixed_minus_available,cool_days,Delta1,6,-0.4710818458046866,-1.0617600136500869,0.6956840880517916,-1.6582213800003747,1.5451001395254556,4999
fixed_minus_available,cool_nights,OLS,6,-0.10272669653963185,-0.2709897373636105,0.09014849635489744,-0.32580190958742855,0.15181975083984134,4999
fixed_minus_available,cool_nights,q10,6,-0.00033187309173410284,-0.40773589554077816,0.3365193150139474,-0.8996415770609314,0.4540023894862877,4999
fixed_minus_available,cool_nights,q50,6,0.23159117305458743,-0.5611025772316074,0.6072913327699574,-0.9799027137736829,1.014493727598565,4999
fixed_minus_available,cool_nights,q90,6,-0.2070888092393517,-0.9214316511481684,0.5274790919952181,-0.9214316511481684,0.9077060931899652,4999
fixed_minus_available,cool_nights,Delta1,6,-0.2067569361476176,-0.9210997780564343,0.6492455255698365,-1.1983263579166479,1.105694983058152,4999
