index_name,tau,network_slope,ols_slope
warm_nights,0.39,11.231671524041959,10.958427868028853
warm_nights,0.4,11.231671577041817,10.958427868028853
warm_nights,0.41,12.735711267075738,10.958427868028853
warm_nights,0.42,12.735727411335496,10.958427868028853
warm_nights,0.43,12.735726963905535,10.958427868028853
warm_nights,0.44,12.736673325858172,10.958427868028853
warm_nights,0.45,12.298384726014977,10.958427868028853
warm_nights,0.46,12.29838580806961,10.958427868028853
warm_nights,0.47,12.298386123006653,10.958427868028853
warm_nights,0.48,12.298305998790875,10.958427868028853
warm_nights,0.49,12.139219130158448,10.958427868028853
warm_nights,0.5,12.13921890447667,10.958427868028853
warm_nights,0.51,12.139218624940495,10.958427868028853
warm_nights,0.52,11.405530220792935,10.958427868028853
warm_nights,0.53,11.278388836378658,10.958427868028853
warm_nights,0.54,11.278375256752048,10.958427868028853
warm_nights,0.55,11.278375079510178,10.958427868028853
warm_nights,0.56,11.278375040759212,10.958427868028853
warm_nights,0.57,11.27837496052739,10.958427868028853
warm_nights,0.58,11.27836534297007,10.958427868028853
warm_nights,0.59,11.224268749292632,10.958427868028853
warm_nights,0.6,11.431178590228374,10.958427868028853
warm_nights,0.61,11.431183360728879,10.958427868028853
warm_nights,0.62,11.431183854904907,10.958427868028853
warm_nights,0.63,11.431184031941331,10.958427868028853
warm_nights,0.64,11.431182306169267,10.958427868028853
warm_nights,0.65,11.027876055304764,10.958427868028853
warm_nights,0.66,12.190610207762816,10.958427868028853
warm_nights,0.67,12.190635449940173,10.958427868028853
warm_nights,0.68,12.190638364567057,10.958427868028853
warm_nights,0.69,11.94120230666733,10.958427868028853
warm_nights,0.7,11.941201400580812,10.958427868028853
warm_nights,0.71,11.941201353284187,10.958427868028853
warm_nights,0.72,11.941201382355928,10.958427868028853
warm_nights,0.73,11.941203448165405,10.958427868028853
warm_nights,0.74,12.157530636249824,10.958427868028853
warm_nights,0.75,12.168007519294676,10.958427868028853
warm_nights,0.76,12.16801959762518,10.958427868028853
warm_nights,0.77,12.168020995371421,10.958427868028853
warm_nights,0.78,12.168020842685218,10.958427868028853
warm_nights,0.79,12.130824911370919,10.958427868028853
warm_nights,0.8,12.130824461648645,10.958427868028853
warm_nights,0.81,12.130824122082618,10.958427868028853
warm_nights,0.82,11.8084087583437,10.958427868028853
warm_nights,0.83,11.808407373355374,10.958427868028853
warm_nights,0.84,13.119674730442648,10.958427868028853
warm_nights,0.85,13.11969159760343,10.958427868028853
warm_nights,0.86,13.119693230046217,10.958427868028853
warm_nights,0.87,12.210628878839652,10.958427868028853
warm_nights,0.88,12.210626641064044,10.958427868028853
warm_nights,0.89,12.21062633991818,10.958427868028853
warm_nights,0.9,12.210626285919806,10.958427868028853
cool_days,0.1,-5.601590071869609,-12.598144500341848
cool_days,0.11,-5.601591880495526,-12.598144500341848
cool_days,0.12,-8.460453535563508,-12.598144500341848
cool_days,0.13,-7.144212650257686,-12.598144500341848
cool_days,0.14,-7.144212665346374,-12.598144500341848
cool_days,0.15,-7.144212762124468,-12.598144500341848
cool_days,0.16,-7.144214118062853,-12.598144500341848
cool_days,0.17,-7.489245247394684,-12.598144500341848
cool_days,0.18,-7.489243574930123,-12.598144500341848
cool_days,0.19,-7.2638743678358,-12.598144500341848
cool_days,0.2,-7.26387253609979,-12.598144500341848
cool_days,0.21,-7.263887152393583,-12.598144500341848
cool_days,0.22,-7.63068442766404,-12.598144500341848
cool_days,0.23,-7.630684498731188,-12.598144500341848
cool_days,0.24,-7.6306845575909055,-12.598144500341848
cool_days,0.25,-7.630685108622652,-12.598144500341848
cool_days,0.26,-8.683515423850169,-12.598144500341848
cool_days,0.27,-8.683513565303343,-12.598144500341848
cool_days,0.28,-8.683508269199264,-12.598144500341848
cool_days,0.29,-8.049413183512856,-12.598144500341848
cool_days,0.3,-9.437452031381088,-12.598144500341848
cool_days,0.31,-9.437451502742801,-12.598144500341848
cool_days,0.32,-9.437451260489548,-12.598144500341848
cool_days,0.33,-9.437453531451997,-12.598144500341848
cool_days,0.34,-10.361148266822878,-12.598144500341848
cool_days,0.35,-10.361149254676413,-12.598144500341848
cool_days,0.36,-10.361146873694535,-12.598144500341848
cool_days,0.37,-10.298389100671441,-12.598144500341848
cool_days,0.38,-10.298386777831553,-12.598144500341848
cool_days,0.39,-10.298363617430168,-12.598144500341848
cool_days,0.4,-10.243248190331002,-12.598144500341848
cool_days,0.41,-10.243247033874143,-12.598144500341848
cool_days,0.42,-10.243247411542129,-12.598144500341848
cool_days,0.43,-10.243748762302262,-12.598144500341848
cool_days,0.44,-10.69053199092636,-12.598144500341848
cool_days,0.45,-10.690532405360795,-12.598144500341848
cool_days,0.46,-10.690543570820095,-12.598144500341848
cool_days,0.47,-10.84898653027336,-12.598144500341848
cool_days,0.48,-10.848986879877536,-12.598144500341848
cool_days,0.49,-10.84898812810345,-12.598144500341848
cool_days,0.5,-12.000579615217482,-12.598144500341848
cool_days,0.51,-11.957869109348724,-12.598144500341848
cool_days,0.52,-11.957863499646102,-12.598144500341848
cool_days,0.53,-11.957862985338748,-12.598144500341848
cool_days,0.54,-11.957815031111553,-12.598144500341848
cool_days,0.55,-11.496198387988155,-12.598144500341848
cool_days,0.56,-11.496197479784625,-12.598144500341848
cool_days,0.57,-11.496197368989597,-12.598144500341848
cool_days,0.58,-11.496197974337921,-12.598144500341848
cool_days,0.59,-11.953396368322274,-12.598144500341848
cool_days,0.6,-11.953404368386698,-12.598144500341848
cool_days,0.61,-11.953405107345176,-12.598144500341848
cool_days,0.62,-11.953404850970681,-12.598144500341848
cool_days,0.63,-11.953404217964076,-12.598144500341848
cool_days,0.64,-11.00001848704254,-12.598144500341848
cool_days,0.65,-11.000001683471618,-12.598144500341848
cool_days,0.66,-11.000001960504797,-12.598144500341848
cool_days,0.67,-11.892393642486224,-12.598144500341848
cool_days,0.68,-11.73705321958042,-12.598144500341848
cool_days,0.69,-11.73702743503167,-12.598144500341848
cool_days,0.7,-11.737025801418651,-12.598144500341848
cool_days,0.71,-11.737025237683667,-12.598144500341848
cool_days,0.72,-11.557124930199842,-12.598144500341848
cool_days,0.73,-11.55712147695419,-12.598144500341848
cool_days,0.74,-11.557120922558807,-12.598144500341848
cool_days,0.75,-11.557119515275852,-12.598144500341848
cool_days,0.76,-11.39124728779255,-12.598144500341848
cool_days,0.77,-11.391244149749147,-12.598144500341848
cool_days,0.78,-11.391243659587893,-12.598144500341848
cool_days,0.79,-11.39124768789207,-12.598144500341848
cool_days,0.8,-11.207450299235779,-12.598144500341848
cool_days,0.81,-11.207442241563813,-12.598144500341848
cool_days,0.82,-11.207440692811897,-12.598144500341848
cool_days,0.83,-11.20744028819437,-12.598144500341848
cool_days,0.84,-11.207440466044241,-12.598144500341848
cool_days,0.85,-13.826181191301048,-12.598144500341848
cool_days,0.86,-14.723910666213742,-12.598144500341848
cool_days,0.87,-15.131964174530717,-12.598144500341848
cool_days,0.88,-15.131965885615683,-12.598144500341848
cool_days,0.89,-15.371909283805946,-12.598144500341848
cool_days,0.9,-15.371903122642864,-12.598144500341848
cool_nights,0.1,-5.905011245918973,-10.863292034184974
cool_nights,0.11,-4.395161976369406,-10.863292034184974
cool_nights,0.12,-4.3951643649852805,-10.863292034184974
cool_nights,0.13,-5.544354777646652,-10.863292034184974
cool_nights,0.14,-5.544354824982487,-10.863292034184974
cool_nights,0.15,-5.5443548734321055,-10.863292034184974
cool_nights,0.16,-5.544355491452446,-10.863292034184974
cool_nights,0.17,-6.1482316571938505,-10.863292034184974
cool_nights,0.18,-6.148229963991979,-10.863292034184974
cool_nights,0.19,-6.1482248130436234,-10.863292034184974
cool_nights,0.2,-5.148888201421905,-10.863292034184974
cool_nights,0.21,-5.148892211901478,-10.863292034184974
cool_nights,0.22,-7.295698579738841,-10.863292034184974
cool_nights,0.23,-7.295698751570828,-10.863292034184974
cool_nights,0.24,-7.29569821223839,-10.863292034184974
cool_nights,0.25,-7.295695902997645,-10.863292034184974
cool_nights,0.26,-6.669400451118231,-10.863292034184974
cool_nights,0.27,-7.719807406450235,-10.863292034184974
cool_nights,0.28,-7.719809424929997,-10.863292034184974
cool_nights,0.29,-7.7198164398480005,-10.863292034184974
cool_nights,0.3,-8.49460160310088,-10.863292034184974
cool_nights,0.31,-7.874773349313452,-10.863292034184974
cool_nights,0.32,-7.874772439783388,-10.863292034184974
cool_nights,0.33,-8.098323480476253,-10.863292034184974
cool_nights,0.34,-8.098323682484283,-10.863292034184974
cool_nights,0.35,-8.098323680692694,-10.863292034184974
cool_nights,0.36,-8.09832745240839,-10.863292034184974
cool_nights,0.37,-9.521865565846904,-10.863292034184974
cool_nights,0.38,-9.521865804937642,-10.863292034184974
cool_nights,0.39,-9.521865048301745,-10.863292034184974
cool_nights,0.4,-9.521862861438713,-10.863292034184974
cool_nights,0.41,-9.516136733184682,-10.863292034184974
cool_nights,0.42,-9.516129412845308,-10.863292034184974
cool_nights,0.43,-9.271092215879687,-10.863292034184974
cool_nights,0.44,-9.271074139478554,-10.863292034184974
cool_nights,0.45,-9.271101857418088,-10.863292034184974
cool_nights,0.46,-9.325265209830542,-10.863292034184974
cool_nights,0.47,-9.32526540835486,-10.863292034184974
