definition,climate_regime,component,n_stations,n_zero_dry_threshold,joint_early_pct,joint_late_pct,estimate_pp,ci_low_pp,ci_high_pp
warm_season,BSh_hot_steppe,excess_joint,8,5,2.941176470588235,8.823529411764707,-0.2595155709342557,-2.7703287197231834,2.2923875432525955
warm_season,BSk_cold_steppe,joint_change,33,3,6.77361853832442,22.994652406417114,16.22103386809269,7.1301247771836005,34.22459893048128
warm_season,BSk_cold_steppe,dry_marginal,33,3,6.77361853832442,22.994652406417114,2.7786515675789034,-0.6291286568103177,12.90762294222502
warm_season,BSk_cold_steppe,hot_marginal,33,3,6.77361853832442,22.994652406417114,12.45674740484429,7.3028730208661,20.95548914753067
warm_season,BSk_cold_steppe,excess_joint,33,3,6.77361853832442,22.994652406417114,0.9856348956694976,-3.5451399811261397,3.827723602810112
warm_season,C_temperate,joint_change,15,1,6.274509803921567,27.058823529411768,20.78431372549019,6.2745098039215685,44.70588235294119
warm_season,C_temperate,dry_marginal,15,1,6.274509803921567,27.058823529411768,6.320645905420992,0.8754325259515572,19.63148788927336
warm_season,C_temperate,hot_marginal,15,1,6.274509803921567,27.058823529411768,14.74048442906574,5.7324106113033455,25.86043829296425
warm_season,C_temperate,excess_joint,15,1,6.274509803921567,27.058823529411768,-0.2768166089965387,-4.590542099192619,4.9365628604382925
warm_season,Dsa_cold_dry_summer,joint_change,8,0,10.294117647058822,31.61764705882353,21.323529411764703,10.294117647058822,45.588235294117645
warm_season,Dsa_cold_dry_summer,dry_marginal,8,0,10.294117647058822,31.61764705882353,4.95242214532872,-0.6055363321799301,18.620242214532873
warm_season,Dsa_cold_dry_summer,hot_marginal,8,0,10.294117647058822,31.61764705882353,17.063148788927332,8.347750865051902,26.708477508650514
warm_season,Dsa_cold_dry_summer,excess_joint,8,0,10.294117647058822,31.61764705882353,-0.6920415224913491,-4.065743944636678,5.666089965397923
