definition,scenario,component,estimate_pp,ci_low_pp,ci_high_pp,family_ci_low_pp,family_ci_high_pp,n_stations,joint_early_pct,joint_late_pct,zero_precip_threshold_stations,dry_quantile,hot_quantile,coverage,block_length,refit_thresholds,inclusive,exclude_zero_threshold,common_network
annual,positive_dry_threshold,hot_marginal,12.48170082512643,6.158504125632153,23.44473649188181,4.2414472151982965,26.973763558024892,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,True,False,True,
annual,positive_dry_threshold,excess_joint,-0.019962736225711167,-4.349048442906574,3.4171213734362538,-5.958731201756721,4.70900153047642,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,True,False,True,
warm_season,positive_dry_threshold,joint_change,17.647058823529413,9.725490196078427,33.803921568627445,7.215686274509801,39.148529411764585,75,7.607843137254901,25.254901960784316,0,0.25,0.75,0.8,4,True,False,True,
warm_season,positive_dry_threshold,dry_marginal,3.9630911188004614,0.731141868512111,12.900115340253752,-0.36535467128027677,15.5755478662053,75,7.607843137254901,25.254901960784316,0,0.25,0.75,0.8,4,True,False,True,
warm_season,positive_dry_threshold,hot_marginal,13.605536332179929,7.742560553633217,20.641753171856976,6.061072664359862,22.91789215686273,75,7.607843137254901,25.254901960784316,0,0.25,0.75,0.8,4,True,False,True,
warm_season,positive_dry_threshold,excess_joint,0.07843137254901988,-2.2791234140715106,3.1054209919261853,-3.1748269896193766,4.421597462514415,75,7.607843137254901,25.254901960784316,0,0.25,0.75,0.8,4,True,False,True,
annual,common_station_network,joint_change,20.61735585323239,8.910891089108908,41.11822947000582,5.627184041933603,47.37223354688407,101,9.20209668025626,29.81945253348864,0,0.25,0.75,0.8,4,True,False,,True
annual,common_station_network,dry_marginal,8.239405255404431,4.213659255198877,18.767857754633596,3.0800879612182666,22.640699407310834,101,9.20209668025626,29.81945253348864,0,0.25,0.75,0.8,4,True,False,,True
annual,common_station_network,hot_marginal,12.446469560450856,6.201651306999211,23.512453321456714,4.157377351056906,27.057378207543834,101,9.20209668025626,29.81945253348864,0,0.25,0.75,0.8,4,True,False,,True
annual,common_station_network,excess_joint,-0.06851896262290504,-4.587515845010105,3.360855116653532,-6.22935866250985,4.686697043406764,101,9.20209668025626,29.81945253348864,0,0.25,0.75,0.8,4,True,False,,True
warm_season,common_station_network,joint_change,13.104251601630754,7.3354688410017435,27.489807804309844,5.416423995340709,32.90623179965056,101,5.53290623179965,18.6371578334304,27,0.25,0.75,0.8,4,True,False,,True
warm_season,common_station_network,dry_marginal,2.918907807735791,0.5322210421734217,10.522799684812771,-0.3209792216245847,12.95073700709171,101,5.53290623179965,18.6371578334304,27,0.25,0.75,0.8,4,True,False,,True
warm_season,common_station_network,hot_marginal,10.010620439206548,5.8964849772174475,16.479752646544934,4.57412252903491,19.01353035390042,101,5.53290623179965,18.6371578334304,27,0.25,0.75,0.8,4,True,False,,True
warm_season,common_station_network,excess_joint,0.17472335468841027,-1.7951968207201339,2.3709274041591017,-2.467025249237727,3.553693172085365,101,5.53290623179965,18.6371578334304,27,0.25,0.75,0.8,4,True,False,,True
