definition,rule,threshold_mode,climate_regime,stratum,n_stations,n_zero,component,estimate_pp,ci_low_pp,ci_high_pp
annual,dry_inclusive_only,fixed,Dsa_cold_dry_summer,positive,9,0,hot_marginal,14.725105728565934,6.401384083044984,21.39657823913879
annual,dry_inclusive_only,fixed,Dsa_cold_dry_summer,positive,9,0,excess_joint,-0.19223375624759592,-6.26874279123414,7.151095732410612
annual,both_inclusive,fixed,All,all,104,0,joint_change,16.346153846153854,-0.002828054298642546,31.05203619909503
annual,both_inclusive,fixed,All,all,104,0,dry_marginal,6.088634548842162,-0.6625964865584235,11.299407772158634
annual,both_inclusive,fixed,All,all,104,0,hot_marginal,11.461937716262977,1.9694071067340968,19.232515970188977
annual,both_inclusive,fixed,All,all,104,0,excess_joint,-1.2044184189512903,-5.150718658504126,3.8732698961937757
annual,both_inclusive,fixed,All,positive,104,0,joint_change,16.346153846153854,-0.002828054298642546,31.05203619909503
annual,both_inclusive,fixed,All,positive,104,0,dry_marginal,6.088634548842162,-0.6625964865584235,11.299407772158634
annual,both_inclusive,fixed,All,positive,104,0,hot_marginal,11.461937716262977,1.9694071067340968,19.232515970188977
annual,both_inclusive,fixed,All,positive,104,0,excess_joint,-1.2044184189512903,-5.150718658504126,3.8732698961937757
annual,both_inclusive,fixed,BWh_hot_desert,all,28,0,joint_change,16.59663865546218,1.6806722689075637,29.632352941176507
annual,both_inclusive,fixed,BWh_hot_desert,all,28,0,dry_marginal,5.221206129510625,-2.9785590706870977,10.955573405832922
annual,both_inclusive,fixed,BWh_hot_desert,all,28,0,hot_marginal,11.77088482451804,3.5525827978250124,18.51241967375186
annual,both_inclusive,fixed,BWh_hot_desert,all,28,0,excess_joint,-0.3954522985664831,-2.867647058823529,3.175976272862085
annual,both_inclusive,fixed,BWh_hot_desert,positive,28,0,joint_change,16.59663865546218,1.6806722689075637,29.632352941176507
annual,both_inclusive,fixed,BWh_hot_desert,positive,28,0,dry_marginal,5.221206129510625,-2.9785590706870977,10.955573405832922
annual,both_inclusive,fixed,BWh_hot_desert,positive,28,0,hot_marginal,11.77088482451804,3.5525827978250124,18.51241967375186
annual,both_inclusive,fixed,BWh_hot_desert,positive,28,0,excess_joint,-0.3954522985664831,-2.867647058823529,3.175976272862085
