scenario,index_name,year,count,rate_pct
fixed_w5_t7_corrected,cool_nights,1996,43.48148148148148,12.243894202368676
fixed_w5_t7_corrected,cool_nights,1997,42.070601851851855,11.835545638631809
fixed_w5_t7_corrected,cool_nights,1998,25.68865740740741,7.2674067764390315
fixed_w5_t7_corrected,cool_nights,1999,27.89814814814815,7.8222156017869
fixed_w5_t7_corrected,cool_nights,2000,32.826967592592595,9.19768172780266
fixed_w5_t7_corrected,cool_nights,2001,24.90277777777778,6.917598631134293
fixed_w5_t7_corrected,cool_nights,2002,27.524305555555557,7.674646431224658
fixed_w5_t7_corrected,cool_nights,2003,36.39351851851852,10.148880195040945
fixed_w5_t7_corrected,cool_nights,2004,33.35648148148148,9.280471443275712
fixed_w5_t7_corrected,cool_nights,2005,29.803819444444443,8.23487992458685
fixed_w5_t7_corrected,cool_nights,2006,31.82928240740741,8.760301912041085
fixed_w5_t7_corrected,cool_nights,2007,36.40914351851852,10.00299823471021
fixed_w5_t7_corrected,cool_nights,2008,43.72222222222222,11.997289666665198
fixed_w5_t7_corrected,cool_nights,2009,29.435185185185187,8.077074271704559
fixed_w5_t7_corrected,cool_nights,2010,21.805555555555557,5.980396113761749
fixed_w5_t7_corrected,cool_nights,2011,36.592592592592595,10.052770906887698
fixed_w5_t7_corrected,cool_nights,2012,31.23148148148148,8.608557317862322
fixed_w5_t7_corrected,cool_nights,2013,37.55555555555556,10.291890377506817
fixed_w5_t7_corrected,cool_nights,2014,30.833333333333332,8.504832714154393
fixed_w5_t7_corrected,cool_nights,2015,23.90740740740741,6.592470592800805
fixed_w5_t7_corrected,cool_nights,2016,29.25925925925926,8.053417742407413
fixed_w5_t7_corrected,cool_nights,2017,28.34259259259259,7.797197645272377
fixed_w5_t7_corrected,cool_nights,2018,16.425925925925927,4.516807266151058
fixed_w5_t7_corrected,cool_nights,2019,23.97222222222222,6.610743452397343
fixed_w5_t7_corrected,cool_nights,2020,29.194444444444443,8.01810559623163
fixed_w5_t7_corrected,cool_nights,2021,21.935185185185187,6.030735713945728
fixed_w5_t7_corrected,cool_nights,2022,20.24074074074074,5.5498437596480565
fixed_w5_t7_corrected,cool_nights,2023,16.0,4.386099747292978
fixed_w5_t7_corrected,cool_nights,2024,19.77777777777778,5.421409377757529
fixed_w5_t7_corrected,warm_days,1991,23.919560185185187,6.570357478328861
fixed_w5_t7_corrected,warm_days,1992,11.149305555555555,3.105786598198415
fixed_w5_t7_corrected,warm_days,1993,16.658564814814813,4.602602883977023
fixed_w5_t7_corrected,warm_days,1994,25.72048611111111,7.098845182673365
fixed_w5_t7_corrected,warm_days,1995,36.264467592592595,10.03382090898101
fixed_w5_t7_corrected,warm_days,1996,30.95601851851852,8.538887937868523
fixed_w5_t7_corrected,warm_days,1997,32.432870370370374,9.02410605444243
fixed_w5_t7_corrected,warm_days,1998,73.0769675925926,20.273277330596777
fixed_w5_t7_corrected,warm_days,1999,51.30555555555556,14.200728458920914
fixed_w5_t7_corrected,warm_days,2000,50.210648148148145,13.94045392729263
fixed_w5_t7_corrected,warm_days,2001,64.71412037037037,17.813446402128232
fixed_w5_t7_corrected,warm_days,2002,54.166666666666664,14.959076521618776
fixed_w5_t7_corrected,warm_days,2003,40.898148148148145,11.290169111364118
fixed_w5_t7_corrected,warm_days,2004,47.304976851851855,13.077908826909406
fixed_w5_t7_corrected,warm_days,2005,47.498263888888886,13.074166092403381
fixed_w5_t7_corrected,warm_days,2006,55.23206018518518,15.180563585993001
fixed_w5_t7_corrected,warm_days,2007,40.27256944444444,11.069889080743204
fixed_w5_t7_corrected,warm_days,2008,60.361111111111114,16.55702095962695
fixed_w5_t7_corrected,warm_days,2009,47.26851851851852,12.974919395291003
fixed_w5_t7_corrected,warm_days,2010,98.20370370370371,26.93707719533094
