index_name,station_id,station_name,baseline_period,comparison_period,baseline_mean_days,comparison_mean_days,late_minus_baseline_days,expected_direction,direction_consistent
warm_nights,40718,Bandar-E-Anzali,1991-2007,2008-2024,30.176470588235293,63.529411764705884,33.352941176470594,increase,True
warm_nights,40719,Rasht,1991-2007,2008-2024,31.647058823529413,82.29411764705883,50.64705882352941,increase,True
warm_nights,40723,Bojnurd,1991-2007,2008-2024,33.11764705882353,56.588235294117645,23.470588235294116,increase,True
warm_nights,40724,Piranshahr,1991-2007,2008-2024,31.235294117647058,84.94117647058823,53.705882352941174,increase,True
warm_nights,40726,Mahabad,1991-2007,2008-2024,33.294117647058826,62.23529411764706,28.941176470588232,increase,True
warm_nights,40727,Saqez,1991-2007,2008-2024,32.411764705882355,63.0,30.588235294117645,increase,True
warm_nights,40728,Takab,1991-2007,2008-2024,32.8235294117647,55.94117647058823,23.11764705882353,increase,True
warm_nights,40729,Zanjan,1991-2007,2008-2024,33.64705882352941,68.05882352941177,34.411764705882355,increase,True
warm_nights,40730,Khorramdareh,1991-2007,2008-2024,32.588235294117645,71.76470588235294,39.1764705882353,increase,True
warm_nights,40731,Qazvin,1991-2007,2008-2024,33.411764705882355,57.0,23.588235294117645,increase,True
warm_nights,40732,Ramsar,1991-2007,2008-2024,32.470588235294116,83.17647058823529,50.705882352941174,increase,True
warm_nights,40734,Nowshahr,1991-2007,2008-2024,32.411764705882355,83.23529411764706,50.8235294117647,increase,True
warm_nights,40736,Babolsar,1991-2007,2008-2024,31.470588235294116,72.88235294117646,41.41176470588235,increase,True
warm_nights,40737,Gharakhil,1991-2007,2008-2024,32.1764705882353,58.94117647058823,26.764705882352935,increase,True
warm_nights,40738,Gorgan,1991-2007,2008-2024,32.1764705882353,41.529411764705884,9.352941176470587,increase,True
warm_nights,40739,Shahrud,1991-2007,2008-2024,33.64705882352941,44.11764705882353,10.470588235294116,increase,True
warm_nights,40740,Quchan,1991-2007,2008-2024,33.588235294117645,27.41176470588235,-6.1764705882352935,increase,False
warm_nights,40741,Sarakhs,1991-2007,2008-2024,33.94117647058823,58.588235294117645,24.647058823529413,increase,True
warm_nights,40742,Biyarjomand,1991-2007,2008-2024,34.0625,47.64705882352941,13.584558823529413,increase,True
warm_nights,40743,Sabzevar,1991-2007,2008-2024,33.588235294117645,57.529411764705884,23.94117647058824,increase,True
