index_name,station_id,station_name,cluster_baseline,cluster_hierarchical_complete_euclidean,cluster_hierarchical_ward_euclidean,cluster_hierarchical_average_cityblock,cluster_kmeans
cool_days,40809,Birjand,1,2,4,4,4
cool_days,40810,Bostan,1,2,2,4,2
cool_days,40811,Ahvaz,2,2,4,4,3
cool_days,40812,Masjedsoleyman,2,1,4,3,1
cool_days,40813,Ramhormoz,1,2,2,4,2
cool_days,40818,Abadeh,2,1,1,3,1
cool_days,40821,Yazd,2,1,1,3,1
cool_days,40827,Nehbandan,2,2,4,4,3
cool_days,40829,Zabol,2,2,4,4,3
cool_days,40831,Abadan,1,4,2,4,2
cool_days,40832,Bandar-E- Mahshahr,2,1,1,3,3
cool_days,40833,Omidiyeh (Aghajari),2,2,1,4,3
cool_days,40835,Dogonbadan,1,2,3,4,4
cool_days,40836,Yasuj,2,1,1,3,3
cool_days,40839,Anar,2,1,1,3,1
cool_days,40841,Kerman,2,1,1,3,1
cool_days,40844,Dorudzan,2,1,1,3,1
cool_days,40847,Zarqan,2,2,4,4,3
cool_days,40848,Shiraz,2,2,4,4,3
cool_days,40849,Shahrebabak,2,1,1,3,1
cool_days,40851,Sirjan,2,1,1,3,1
cool_days,40853,Baft,2,1,4,3,1
cool_days,40854,Bam,2,2,4,4,3
cool_days,40856,Zahedan,2,2,4,4,3
cool_days,40857,Bushehr (Coastal),3,3,2,1,2
cool_days,40858,Bushehr (Airport),2,1,1,3,1
cool_days,40859,Fasa,2,1,1,3,1
cool_days,40870,Khash,2,1,1,3,1
cool_days,40873,Lar,2,1,1,3,1
cool_days,40875,Bandarabbas,1,4,2,4,2
cool_days,40876,Minab,1,4,2,4,2
cool_days,40877,Kahnuj,2,1,1,3,1
cool_days,40878,Saravan,2,1,1,3,1
cool_days,40879,Iranshahr,2,1,1,3,1
cool_days,40882,Kish Island,1,4,2,4,2
cool_days,40883,Bandar-E-Lengeh,4,3,2,1,2
cool_days,40889,Siri Island,1,4,2,4,2
cool_days,40890,Abumusa Island,3,3,2,1,2
cool_days,40893,Jask,4,4,2,4,2
cool_days,40898,Chahbahar,4,4,2,2,2
cool_days,88187,Jam,1,2,4,4,3
cool_days,99331,Tehran (Geophysic),1,2,3,4,4
cool_days,99407,Boshruyeh,2,1,1,3,3
cool_days,99421,Natanz,1,2,3,4,4
cool_days,99459,Borujen,1,2,2,4,2
cool_days,99623,Zahak,2,1,1,3,1
cool_nights,19996,Bahookalat,2,1,3,2,1
cool_nights,40700,Parsabad,2,3,2,2,2
cool_nights,40701,Maku,2,3,3,2,1
cool_nights,40702,Jolfa,2,3,2,2,1
cool_nights,40703,Khoy,2,1,3,2,1
cool_nights,40704,Ahar,2,3,2,2,2
cool_nights,40706,Tabriz,2,3,2,2,2
cool_nights,40708,Ardebil,2,1,3,2,1
cool_nights,40709,Astara,2,3,2,2,2
cool_nights,40710,Sarab,2,3,2,2,2
cool_nights,40712,Orumiyeh,2,3,2,2,2
cool_nights,40713,Maragheh-Synoptic,2,1,3,2,1
cool_nights,40716,Mianeh,2,1,4,2,1
cool_nights,40717,Khalkhal,2,1,4,2,1
cool_nights,40718,Bandar-E-Anzali,2,3,2,2,2
cool_nights,40719,Rasht,2,1,3,2,1
cool_nights,40723,Bojnurd,2,3,2,2,2
cool_nights,40724,Piranshahr,2,1,3,2,1
cool_nights,40726,Mahabad,2,3,2,2,2
cool_nights,40727,Saqez,2,1,4,2,1
cool_nights,40728,Takab,2,3,2,2,2
cool_nights,40729,Zanjan,2,1,4,2,1
cool_nights,40730,Khorramdareh,2,1,4,2,1
cool_nights,40731,Qazvin,2,3,2,2,2
cool_nights,40732,Ramsar,2,1,4,2,1
cool_nights,40734,Nowshahr,2,1,4,2,1
cool_nights,40736,Babolsar,2,1,4,2,1
cool_nights,40737,Gharakhil,2,3,2,2,2
cool_nights,40738,Gorgan,1,4,1,1,3
cool_nights,40739,Shahrud,2,3,2,2,2
cool_nights,40740,Quchan,1,4,1,1,3
cool_nights,40741,Sarakhs,2,3,2,2,2
cool_nights,40742,Biyarjomand,2,1,4,2,1
cool_nights,40743,Sabzevar,2,3,3,2,1
cool_nights,40744,Golmakan,2,3,2,2,2
